,minority_fracs,p3_vals
0,0.0,0.0
1,0.0,0.005
2,0.0,0.01
3,0.0,0.015
4,0.0,0.02
5,0.0,0.025
6,0.0,0.03
7,0.0,0.035
8,0.0,0.04
9,0.0,0.045
10,0.00951912,0.05
11,0.00123136,0.055
12,0.051761680000000004,0.06
13,0.056640319999999994,0.065
14,0.061753199999999994,0.07
15,0.06601928,0.075
16,0.07153824,0.08
17,0.07612912,0.085
18,0.08080176,0.09
19,0.08575376,0.095
