h,|M|,|Ms|,var(M),var(Ms),E,|M|_err,|Ms|_err,var(M)_err,var(Ms)_err,E_err
0.0,1.19376124775045,2498.1783643271347,3.3902786329356807,4.1321533733645195,-4992.873425314937,0.020453003818338755,0.11732721600432858,0.08535924086894364,1.687149091999604,0.028817147477509124
0.5,2.197311409843351,2497.2623041884235,5.123526757960864,5.786657017123885,-4988.1932007554715,0.02153069194182105,0.10773352405301252,0.08728301624147751,1.8877872155221784,0.025339231683143282
1.0,6.05754916120431,2493.57004777247,12.133101432606317,12.911908107927767,-4968.430174425064,0.03819123282818122,0.1902301884877376,0.20283112029529485,5.052823249053284,0.03635159124805789
1.5,16.8192423064104,2482.877235862682,33.115754608657895,34.70384908657522,-4906.624930563271,0.06119371669611409,0.33592758267329087,0.511340277214237,15.712330324629374,0.0610198211824581
2.0,45.11298744583935,2454.3675147205868,89.5836120172849,93.80649497881342,-4728.334185090545,0.1003281922443012,0.5720243548130414,1.3818589339143152,48.716304655361576,0.1020727031761684
2.5,120.42661926452617,2377.3105210532162,237.83510521322287,270.0167863188824,-4215.085434951672,0.16053111633191405,1.0476051441643912,3.648555647124247,151.67319151538646,0.17435552024855502
3.0,320.1179868903455,2151.40251083213,617.0921784160041,1332.5380183596485,-2750.4128430174424,0.26520386224156683,1.818977633910794,9.117487929798754,475.1207926631193,0.40942984503499114
3.5,905.7109210087768,243.0152205310521,1044.1359645000375,92543.95998963244,1834.6828130207755,0.3375541415287582,2.647445915325592,14.973427458774175,842.5285914815213,3.2720236217899497
4.0,1357.8073547383624,76.32129763359627,809.5667096007465,9139.400413397017,5888.95411620931,0.30721896801811344,2.415654238886061,11.955422112529197,789.135541492433,1.003331722224261
4.5,1748.4801688701255,43.52471947561382,743.9920797848368,2983.2023619541046,9872.855793800689,0.30294002244046003,2.4461157845735575,11.27478838715458,810.8221173230348,0.5629862634224656
5.0,2075.6629263415175,26.856793689590045,571.6108564070843,1150.9632238889726,13684.119320075548,0.24691601934658822,2.2851900459223686,8.77298473851144,677.439264354757,0.3558451110840926
5.5,2298.1219864459504,17.186090434396178,329.4778423377787,468.277671378241,16832.793467392512,0.18947073014334304,1.8649978649359729,4.829701033321137,425.7173133164183,0.225233022474895
6.0,2416.0386623708478,10.57349183424064,152.5344456721414,176.89696984747874,19160.488834573935,0.12745543215599872,1.3231964055116023,2.2784602374803975,242.51851505035876,0.1374506613365182
6.5,2467.4393956227086,6.394178424619486,62.75115990580907,65.38517700529293,20908.125208310186,0.0836922355182724,0.9134207206666773,0.9192630843859593,99.02743843690313,0.08404367843829663
7.0,2487.860682146428,3.9024552827463617,23.760614977404835,24.855446235954403,22366.468836795913,0.051084132603461084,0.5750133550401894,0.36127897998994324,43.94837765138423,0.05238420317153691
7.5,2495.432951894234,2.2975224975002777,9.240060711939806,9.45980802463887,23697.47894678369,0.0322786956089684,0.3660168600752316,0.1481249220827093,19.908941531617568,0.033547308857678176
8.0,2498.3210754360625,1.1767581379846683,3.419630262168528,3.3480627595341432,24979.85290523275,0.019377529709516998,0.23108705952866426,0.06122367150383558,8.631646546180972,0.019071562072244044
8.5,2499.390512165315,0.5339406732585268,1.2083490433193977,1.2313187534706025,26242.381402066436,0.011413814810299438,0.13979114271501833,0.027178331313370933,4.341796748244174,0.011911051212467248
9.0,2499.77824686146,0.21197644706143762,0.43699374908052835,0.44495188174292283,27497.11720919898,0.006851379450425843,0.09049948802582304,0.014426897517470751,2.476630910815212,0.007199813773606611
9.5,2499.9222308632375,0.07732474169536718,0.1548229756989437,0.1590863245317543,28748.950116653705,0.004149136329305244,0.057212470364173915,0.008544328156158024,1.5669087813254845,0.0043182931231959525
10.0,2499.969336740362,0.030218864570603268,0.06305265418730831,0.06221037223567142,29999.57071436507,0.002602649693624195,0.03672328920792763,0.005697832878600419,1.118001151615461,0.0027011064823336916
