phi0s,vars
0.0,0.005002284122249016
0.0125,0.005770322104614473
0.025,0.00582728375227738
0.037500000000000006,0.004587121597768639
0.05,0.004696195346803917
0.0625,0.0039475541410400085
0.07500000000000001,0.003921238613151368
0.08750000000000001,0.0018054871060350416
0.1,0.0015071686291410955
0.1125,0.0011451779173500662
0.125,0.0004985930890874222
0.1375,0.00038779125655925546
0.15000000000000002,0.0002439813883610003
0.1625,0.00016645468573739914
0.17500000000000002,9.912722437472662e-05
0.1875,6.488344824253672e-05
0.2,4.669876961711627e-05
0.21250000000000002,2.7047620709272508e-05
0.225,3.6082267104421776e-05
0.23750000000000002,3.0990022598333266e-05
