a_frac,b_frac,c_frac,time
0.0204,0.022,0.0344,1.2300000000000009
0.0228,0.0244,0.0368,1.2400000000000009
0.0256,0.0268,0.0392,1.2500000000000009
0.0276,0.0272,0.042,1.260000000000001
0.0308,0.0296,0.0448,1.270000000000001
0.0332,0.0348,0.0476,1.280000000000001
0.0384,0.0412,0.05,1.290000000000001
0.0412,0.0468,0.054,1.300000000000001
0.0452,0.0484,0.0576,1.310000000000001
0.0532,0.052,0.0612,1.320000000000001
0.0576,0.0544,0.0652,1.330000000000001
0.0628,0.0576,0.0692,1.340000000000001
0.0672,0.066,0.0732,1.350000000000001
0.072,0.0716,0.0788,1.360000000000001
0.0792,0.0772,0.0864,1.370000000000001
0.0876,0.0836,0.0924,1.380000000000001
0.0944,0.0896,0.0992,1.390000000000001
0.1008,0.1,0.1096,1.400000000000001
0.1096,0.1052,0.118,1.410000000000001
0.1144,0.1108,0.1272,1.420000000000001
0.1212,0.12,0.1368,1.430000000000001
0.1268,0.1284,0.1468,1.440000000000001
0.134,0.1356,0.1564,1.450000000000001
0.1424,0.1448,0.1656,1.460000000000001
0.1492,0.1544,0.1772,1.470000000000001
0.1556,0.1632,0.188,1.480000000000001
0.1616,0.1708,0.2012,1.490000000000001
0.1704,0.1772,0.2124,1.500000000000001
0.1752,0.1848,0.2256,1.5100000000000011
0.1804,0.1908,0.2364,1.5200000000000011
0.186,0.1976,0.246,1.5300000000000011
0.1956,0.2024,0.2536,1.5400000000000011
0.2028,0.21,0.2652,1.5500000000000012
0.2124,0.2168,0.2748,1.5600000000000012
0.2228,0.2244,0.2832,1.5700000000000012
0.2324,0.2332,0.2948,1.5800000000000012
0.2392,0.2376,0.3008,1.5900000000000012
0.2468,0.2404,0.3088,1.6000000000000012
0.2528,0.2464,0.3164,1.6100000000000012
0.2584,0.2528,0.3224,1.6200000000000012
0.264,0.258,0.3268,1.6300000000000012
0.27,0.2636,0.3368,1.6400000000000012
0.2752,0.2696,0.3432,1.6500000000000012
0.2764,0.2748,0.3492,1.6600000000000013
0.28,0.28,0.3548,1.6700000000000013
0.2872,0.2832,0.3612,1.6800000000000013
0.2888,0.2872,0.3648,1.6900000000000013
0.2916,0.2888,0.3672,1.7000000000000013
0.2924,0.2916,0.3688,1.7100000000000013
0.2936,0.2968,0.3708,1.7200000000000013
0.2944,0.3004,0.3712,1.7300000000000013
0.2952,0.3036,0.3724,1.7400000000000013
0.2968,0.3048,0.3752,1.7500000000000013
0.298,0.3072,0.3752,1.7600000000000013
0.2984,0.3084,0.376,1.7700000000000014
0.2988,0.3096,0.3776,1.7800000000000014
0.2992,0.31,0.3784,1.7900000000000014
0.3,0.3092,0.3792,1.8000000000000014
0.3008,0.3104,0.3792,1.8100000000000014
0.3008,0.3116,0.3796,1.8200000000000014
0.3012,0.3128,0.3792,1.8300000000000014
0.3012,0.3132,0.38,1.8400000000000014
0.3008,0.312,0.3816,1.8500000000000014
0.3008,0.3124,0.3816,1.8600000000000014
0.3004,0.3136,0.3824,1.8700000000000014
0.3012,0.3132,0.3828,1.8800000000000014
0.3008,0.3136,0.3828,1.8900000000000015
0.3012,0.3132,0.3828,1.9000000000000015
0.3012,0.3132,0.3828,1.9100000000000015
0.3016,0.3136,0.3824,1.9200000000000015
0.302,0.3148,0.3808,1.9300000000000015
0.3028,0.3144,0.3804,1.9400000000000015
0.3016,0.316,0.3808,1.9500000000000015
0.2996,0.3172,0.3824,1.9600000000000015
0.2988,0.3188,0.3816,1.9700000000000015
0.2992,0.3184,0.3824,1.9800000000000015
0.2988,0.3188,0.3824,1.9900000000000015
0.298,0.3188,0.3832,2.0000000000000013
0.298,0.3192,0.3828,2.010000000000001
0.298,0.3196,0.3824,2.020000000000001
0.2964,0.3208,0.3828,2.0300000000000007
0.2952,0.322,0.3828,2.0400000000000005
0.2952,0.322,0.3828,2.0500000000000003
0.2948,0.322,0.3832,2.06
0.294,0.3228,0.3832,2.07
0.2936,0.3236,0.3828,2.0799999999999996
0.2936,0.324,0.3824,2.0899999999999994
0.2932,0.3248,0.382,2.099999999999999
0.2924,0.3252,0.3824,2.109999999999999
0.292,0.3256,0.3824,2.1199999999999988
0.2916,0.326,0.3824,2.1299999999999986
0.2924,0.326,0.3816,2.1399999999999983
0.2928,0.326,0.3812,2.149999999999998
0.2932,0.3264,0.3804,2.159999999999998
