,probabilities,distance
0,1.0,0
1,0.8956,1
2,0.798,2
3,0.7048,3
4,0.6148,4
5,0.5328,5
6,0.4632,6
7,0.4144,7
8,0.3764,8
9,0.3444,9
10,0.3196,10
11,0.298,11
12,0.282,12
13,0.2692,13
14,0.2596,14
15,0.2544,15
16,0.254,16
17,0.258,17
18,0.2656,18
19,0.2756,19
20,0.2832,20
21,0.2888,21
22,0.296,22
23,0.3008,23
24,0.3032,24
