,probabilities,distance
0,1.0,0
1,0.85,1
2,0.718,2
3,0.6004,3
4,0.4944,4
5,0.4132,5
6,0.3556,6
7,0.3172,7
8,0.294,8
9,0.2828,9
10,0.282,10
11,0.2852,11
12,0.2876,12
13,0.2892,13
14,0.2884,14
15,0.2828,15
16,0.2792,16
17,0.2812,17
18,0.2812,18
19,0.2816,19
20,0.28,20
21,0.276,21
22,0.2744,22
23,0.2736,23
24,0.278,24
