survival_probabilities,t
0.764,0
0.628,1
0.552,2
0.499,3
0.461,4
0.43,5
0.416,6
0.389,7
0.371,8
0.355,9
0.344,10
0.335,11
0.326,12
0.315,13
0.305,14
0.3,15
0.292,16
0.281,17
0.274,18
0.269,19
0.268,20
0.267,21
0.26,22
0.251,23
0.248,24
0.245,25
0.241,26
0.235,27
0.232,28
0.226,29
0.223,30
0.222,31
0.22,32
0.214,33
0.213,34
0.209,35
0.205,36
0.203,37
0.202,38
0.2,39
0.199,40
0.194,41
0.192,42
0.189,43
0.188,44
0.187,45
0.183,46
0.183,47
0.183,48
0.183,49
0.182,50
0.18,51
0.179,52
0.179,53
0.179,54
0.177,55
0.176,56
0.176,57
0.176,58
0.175,59
0.175,60
0.175,61
0.175,62
0.173,63
0.173,64
0.173,65
0.172,66
0.171,67
0.171,68
0.171,69
0.17,70
0.169,71
0.169,72
0.166,73
0.166,74
0.165,75
0.162,76
0.162,77
0.162,78
0.162,79
0.161,80
0.161,81
0.159,82
0.158,83
0.158,84
0.155,85
0.154,86
0.154,87
0.154,88
0.154,89
0.154,90
0.154,91
0.154,92
0.153,93
0.151,94
0.151,95
0.15,96
0.15,97
0.149,98
0.149,99
0.147,100
0.147,101
0.146,102
0.144,103
0.143,104
0.142,105
0.142,106
0.14,107
0.14,108
0.139,109
0.139,110
0.138,111
0.138,112
0.138,113
0.138,114
0.136,115
0.136,116
0.135,117
0.134,118
0.132,119
0.131,120
0.131,121
0.131,122
0.131,123
0.13,124
0.129,125
0.129,126
0.129,127
0.129,128
0.129,129
0.129,130
0.129,131
0.129,132
0.129,133
0.129,134
0.129,135
0.129,136
0.129,137
0.129,138
0.129,139
0.129,140
0.129,141
0.129,142
0.129,143
0.129,144
0.129,145
0.129,146
0.129,147
0.129,148
0.128,149
0.127,150
0.127,151
0.126,152
0.126,153
0.126,154
0.126,155
0.126,156
0.126,157
0.126,158
0.125,159
0.125,160
0.124,161
0.124,162
0.124,163
0.124,164
0.124,165
0.124,166
0.124,167
0.124,168
0.124,169
0.124,170
0.123,171
0.123,172
0.123,173
0.123,174
0.123,175
0.122,176
0.121,177
0.12,178
0.12,179
0.119,180
0.118,181
0.118,182
0.116,183
0.116,184
0.116,185
0.115,186
0.115,187
0.115,188
0.115,189
0.115,190
0.115,191
0.115,192
0.115,193
0.115,194
0.115,195
0.114,196
0.114,197
0.114,198
0.114,199
0.114,200
0.114,201
0.113,202
0.113,203
0.113,204
0.113,205
0.113,206
0.113,207
0.113,208
0.113,209
0.113,210
0.112,211
0.112,212
0.112,213
0.112,214
0.112,215
0.112,216
0.112,217
0.112,218
0.112,219
0.112,220
0.112,221
0.112,222
0.112,223
0.112,224
0.112,225
0.112,226
0.112,227
0.112,228
0.109,229
0.108,230
0.108,231
0.108,232
0.108,233
0.108,234
0.107,235
0.107,236
0.107,237
0.107,238
0.107,239
0.107,240
0.107,241
0.107,242
0.107,243
0.107,244
0.107,245
0.107,246
0.107,247
0.107,248
0.107,249
0.107,250
0.107,251
0.107,252
0.107,253
0.107,254
0.107,255
0.107,256
0.106,257
0.106,258
0.106,259
0.106,260
0.106,261
0.106,262
0.106,263
0.106,264
0.106,265
0.106,266
0.106,267
0.106,268
0.106,269
0.106,270
0.105,271
0.105,272
0.105,273
0.105,274
0.105,275
0.104,276
0.104,277
0.104,278
0.104,279
0.104,280
0.104,281
0.103,282
0.103,283
0.103,284
0.103,285
0.103,286
0.103,287
0.103,288
0.103,289
0.103,290
0.103,291
0.103,292
0.103,293
0.103,294
0.103,295
0.103,296
0.102,297
0.102,298
0.102,299
