p_vals,a_vars,a_var_errors
0.55,0.8718727599999991,0.8052116896179146
0.555,0.9175673775999996,0.8508176257082782
0.56,0.8470225600000005,0.78897544295884
0.5650000000000001,0.9329791024000001,0.8884918435607593
0.5700000000000001,1.0195337904000006,0.9534255529753901
0.5750000000000001,0.9141118655999996,0.9055055100504107
0.5800000000000001,1.0522161455999992,1.0073217267143697
0.5850000000000001,0.938969721599999,0.8630184284964042
0.5900000000000001,0.9706569904000004,0.9519380448287412
0.5950000000000001,0.9840169215999991,0.927157152979923
0.6000000000000001,1.0202950704000007,0.9747306442915257
0.6050000000000001,1.1126410415999997,1.0427040646764532
0.6100000000000001,1.2147316736000005,1.1557843432106092
0.6150000000000001,1.1141471743999998,1.0578169138650506
0.6200000000000001,1.2084978735999992,1.1277917452809658
0.6250000000000001,5.148304209600001,1.3930046884720308
0.6300000000000001,2.0738679424,0.4244867354385801
0.6350000000000001,1.8835528896,0.38954521242520074
0.6400000000000001,1.6476115135999998,0.34398592378952964
0.6450000000000001,1.43255244,0.2962903567256967
0.6500000000000001,1.3353434304,0.22691358815386437
0.6550000000000001,1.2484765999999996,0.18608287237827473
0.6600000000000001,1.1409025024,0.1429109676306287
0.6650000000000001,1.04351596,0.09846250539565775
0.6700000000000002,0.9213037616000002,0.08445854009062959
0.6750000000000002,0.8597677104,0.09372916282129493
0.6800000000000002,0.7959899824,0.0716575313781627
0.6850000000000002,0.7568394495999999,0.04565350706447552
0.6900000000000002,0.7823791024000001,0.039590115545823
0.6950000000000002,0.6680847296000001,0.04488959531680378
0.7000000000000002,0.6252336816000001,0.038021812093372055
