p_vals,a_fracs
0.55,0.0042120000000000005
0.555,0.004352
0.56,0.004228
0.5650000000000001,0.004392
0.5700000000000001,0.004376
0.5750000000000001,0.0044
0.5800000000000001,0.004548
0.5850000000000001,0.004412
0.5900000000000001,0.00492
0.5950000000000001,0.004648
0.6000000000000001,0.00504
0.6050000000000001,0.0049960000000000004
0.6100000000000001,0.005639999999999999
0.6150000000000001,0.006432
0.6200000000000001,0.009023999999999999
0.6250000000000001,0.08352399999999999
0.6300000000000001,0.13226
0.6350000000000001,0.17528400000000002
0.6400000000000001,0.212032
0.6450000000000001,0.24638799999999997
0.6500000000000001,0.271456
0.6550000000000001,0.30178
0.6600000000000001,0.331256
0.6650000000000001,0.34907200000000005
0.6700000000000002,0.37040400000000007
0.6750000000000002,0.38722000000000006
0.6800000000000002,0.41021599999999997
0.6850000000000002,0.42524
0.6900000000000002,0.44416799999999995
0.6950000000000002,0.4613039999999999
0.7000000000000002,0.47563999999999995
