Equilibration Times
687
485
627
1835
318
1780
1280
1651
1377
1076
297
655
445
523
363
315
999
639
1258
1840
1061
512
495
411
2120
733
362
488
465
1671
840
2188
443
1351
2390
402
561
1707
721
987
1337
1268
253
859
802
1746
1135
696
940
864
426
485
339
1022
709
756
731
1033
392
739
1036
564
983
341
2128
530
2045
794
672
258
786
623
1668
489
367
654
445
270
272
1242
339
204
454
1636
1224
1264
608
430
606
672
932
667
1682
687
608
1175
921
1002
595
860
882
2083
20000
526
1182
423
1577
749
892
833
178
505
1185
214
230
758
280
420
465
534
1317
1253
644
1466
1201
789
1002
757
325
778
484
793
363
436
902
1504
2313
927
1181
271
760
493
1300
500
434
585
2293
440
472
1741
1156
1425
311
959
1095
384
1263
1529
382
1029
538
282
1667
923
197
359
467
1067
1622
1757
432
953
531
521
1119
740
820
369
854
2026
1075
503
876
243
701
217
729
699
466
524
377
568
1518
1305
589
317
1105
1045
1414
632
502
2273
1907
616
1205
655
1166
1342
1018
347
3192
649
1662
336
520
244
1923
1169
1224
270
463
312
437
215
3357
765
802
1270
1196
252
216
703
725
305
1046
435
415
523
792
478
876
2331
462
2069
667
376
1204
523
534
798
1143
2090
733
1475
639
756
818
879
1432
1604
450
1759
2070
2281
1275
387
301
2424
370
1823
811
827
630
615
631
2651
1382
228
342
703
471
491
1114
1663
1026
379
900
2582
407
405
276
622
354
282
867
662
933
583
224
1120
2194
478
861
838
850
2412
2824
560
1698
493
2952
644
982
322
216
1959
1044
706
2334
318
2387
657
231
1706
672
1556
382
1568
852
1592
359
826
810
1831
118
410
754
3100
344
514
120
402
550
2627
309
1497
352
427
1107
661
848
1827
201
985
1084
418
974
171
408
309
1458
927
1645
780
738
580
494
764
1387
1042
155
1087
2470
1696
338
1681
719
381
1534
465
892
1365
1040
910
2321
552
466
1819
403
1872
269
545
1012
1058
190
552
325
603
956
1824
864
1197
959
410
713
913
211
2173
447
702
665
840
3564
208
975
1654
1598
996
20000
1019
1047
1360
536
621
498
455
813
393
373
1371
1274
511
408
589
1378
660
700
607
423
970
1377
861
1051
424
3639
572
1274
974
745
2016
410
597
997
497
280
930
631
576
400
580
1148
365
924
345
1196
649
4268
880
151
767
20000
748
1547
340
2193
581
695
340
851
460
307
356
692
431
617
1454
506
849
3699
1476
2171
947
224
970
834
1050
177
446
1004
1041
600
1586
1112
731
1554
301
507
505
492
2265
1004
1099
337
410
830
954
449
781
1777
1429
365
275
667
1213
376
1699
1451
730
1898
298
288
1502
1146
648
515
417
1615
578
606
571
2915
1567
1378
795
2283
726
505
2296
870
2067
750
594
240
826
227
1284
176
684
490
505
503
557
613
805
144
457
323
201
391
1235
941
794
671
606
912
1171
922
383
1712
1233
241
1799
669
842
446
659
571
437
741
334
740
20000
394
847
385
243
717
365
1122
336
1207
516
547
1118
1903
599
1086
1656
500
2195
516
572
664
319
177
295
241
987
1509
905
392
1132
315
476
356
581
2265
444
419
297
977
905
1156
302
1976
840
1547
1319
1034
543
1698
559
522
1775
133
1234
539
2905
1680
456
994
1395
666
862
578
426
176
1479
478
882
20000
739
1043
393
400
308
473
830
2237
1112
491
1368
591
1340
987
404
492
771
860
223
622
2425
523
1150
547
869
2096
829
484
1437
623
984
747
292
644
1192
409
740
408
1932
429
155
576
1837
1902
892
427
620
301
656
3023
1096
246
1083
388
792
705
1306
288
859
766
624
1293
146
495
344
463
596
1152
268
2113
1439
1590
1107
568
513
294
876
1474
222
490
423
463
725
1292
1366
545
818
889
568
926
1390
451
737
1283
803
265
1420
1343
1086
1225
751
952
2114
1171
1097
2516
2366
363
1883
954
746
1192
924
20000
616
3106
20000
2885
289
1063
1369
486
316
651
1825
1470
654
864
1192
452
704
1884
188
1029
1048
387
1537
402
2049
673
1060
616
321
908
1888
187
659
493
547
859
1531
1709
993
631
445
384
191
886
338
751
236
1034
2025
1133
918
481
142
1972
538
639
3323
1270
567
1310
2240
1634
266
654
568
553
506
693
237
1104
1793
1119
328
507
1907
414
1352
217
563
849
2141
1226
293
705
1660
249
934
2699
774
1151
1118
240
316
671
1256
884
1160
319
1030
342
907
305
847
469
416
407
725
2648
673
526
1217
488
1124
1682
190
781
539
666
980
885
562
599
462
767
1786
414
826
681
377
20000
788
1499
353
502
3401
2278
517
497
741
472
652
960
490
558
1225
854
737
298
787
417
186
340
835
1072
790
1536
216
1423
878
1381
937
417
759
1611
591
376
478
750
20000
562
826
1399
1233
636
907
535
1016
822
1399
608
1342
501
698
916
576
962
200
1507
605
368
680
1713
555
376
410
621
378
1576
1919
675
20000
285
874
1285
807
1536
278
473
1279
417
344
582
645
817
913
759
484
1349
841
836
2516
606
947
1022
1051
